minor_class_id,class_id,fiscal_year,total,minor_class,class,department,fund
420,4,2016,2391,Office Equipment,Equipment,Mayor's Office,General Operating Fund
420,4,2016,46308,Office Equipment,Equipment,Fire,General Operating Fund
325,3,2016,8000,Printing,Materials and Supplies,Fleet Management,General Operating Fund
181,1,2016,13100,Shift,Personal Services,Office of Innovation & Technology,General Operating Fund
255,2,2016,12510,Dues,Purchase of Services,Streets,General Operating Fund
285,2,2016,1575,Rents,Purchase of Services,Records,General Operating Fund
325,3,2016,498500,Printing,Materials and Supplies,Revenue,General Operating Fund
313,3,2016,96970,Food,Materials and Supplies,Sheriff,General Operating Fund
430,4,2016,6500,Furniture and Furnishings,Equipment,Fleet Management,Water Operating Fund
499,4,2016,135940,Other Equipment (noc),Equipment,Office of Bh/mr Services,Grants Revenue Fund
499,4,2016,323512,Other Equipment (noc),Equipment,1st Judicial District,Grants Revenue Fund
313,3,2016,198550,Food,Materials and Supplies,Police,General Operating Fund
325,3,2016,13235,Printing,Materials and Supplies,Records,General Operating Fund
100,1,2016,204500,Salary Control,Personal Services,Revenue,General Operating Fund
181,1,2016,52946,Shift,Personal Services,Free Library,General Operating Fund
181,1,2016,33085,Shift,Personal Services,City Controller,General Operating Fund
100,1,2016,100000,Salary Control,Personal Services,City Council,General Operating Fund
101,1,2016,13939858,Perm Full Time-civilian,Personal Services,City Council,General Operating Fund
111,1,2016,195000,Perm Part Time,Personal Services,City Council,General Operating Fund
121,1,2016,75000,Temporary Seasonal,Personal Services,City Council,General Operating Fund
201,2,2016,485,Cleaning and Laundering,Purchase of Services,City Council,General Operating Fund
202,2,2016,2500,Janitorial Services,Purchase of Services,City Council,General Operating Fund
209,2,2016,2000,Telephone,Purchase of Services,City Council,General Operating Fund
210,2,2016,150000,Postage,Purchase of Services,City Council,General Operating Fund
211,2,2016,10000,Transportation,Purchase of Services,City Council,General Operating Fund
216,2,2016,10000,Commercial Off-shelf Comp Software,Purchase of Services,City Council,General Operating Fund
230,2,2016,5000,Meals-non-travel & Officl Entertain,Purchase of Services,City Council,General Operating Fund
240,2,2016,600000,Advertising/promotional Activities,Purchase of Services,City Council,General Operating Fund
250,2,2016,605000,Professional Consult/spec Services,Purchase of Services,City Council,General Operating Fund
251,2,2016,150000,Information Technology-prof Service,Purchase of Services,City Council,General Operating Fund
255,2,2016,2500,Dues,Purchase of Services,City Council,General Operating Fund
256,2,2016,5000,Seminar and Training Sessions,Purchase of Services,City Council,General Operating Fund
258,2,2016,175000,Court Reporters,Purchase of Services,City Council,General Operating Fund
260,2,2016,10000,Repair and Maintenance Charges,Purchase of Services,City Council,General Operating Fund
266,2,2016,25000,Maint/support-computr Hardware/soft,Purchase of Services,City Council,General Operating Fund
285,2,2016,152000,Rents,Purchase of Services,City Council,General Operating Fund
301,3,2016,750,Agricultural and Botanical,Materials and Supplies,City Council,General Operating Fund
304,3,2016,140000,Books and Other Publications,Materials and Supplies,City Council,General Operating Fund
305,3,2016,750,Building and Construction,Materials and Supplies,City Council,General Operating Fund
309,3,2016,1000,Cordage and Fibers,Materials and Supplies,City Council,General Operating Fund
310,3,2016,3500,Electrical and Communication,Materials and Supplies,City Council,General Operating Fund
313,3,2016,7500,Food,Materials and Supplies,City Council,General Operating Fund
316,3,2016,1000,General Hardware and Minor Tools,Materials and Supplies,City Council,General Operating Fund
318,3,2016,5000,"Janitorial, Laundry and Household",Materials and Supplies,City Council,General Operating Fund
320,3,2016,90000,Office Materials and Supplies,Materials and Supplies,City Council,General Operating Fund
324,3,2016,1500,"Precision, Photographic and Artists",Materials and Supplies,City Council,General Operating Fund
325,3,2016,110000,Printing,Materials and Supplies,City Council,General Operating Fund
420,4,2016,25000,Office Equipment,Equipment,City Council,General Operating Fund
423,4,2016,4000,Plumbing/air Conditioning/space Htg,Equipment,City Council,General Operating Fund
427,4,2016,60000,Computer Equipment & Peripherals,Equipment,City Council,General Operating Fund
430,4,2016,60650,Furniture and Furnishings,Equipment,City Council,General Operating Fund
599,5,2016,25000100,Other Expenses (noc),"Contributions, Indemnities, Refunds, Taxes",City Council,General Operating Fund
800,8,2016,100,Pmt to Other Funds Control,Payments to Other Funds,City Council,General Operating Fund
999,9,2016,100,Standby Authorizations,Advances & Other Misc Payments,City Council,General Operating Fund
101,1,2016,545080,Perm Full Time-civilian,Personal Services,Mayor's Office-labor Relations,General Operating Fund
161,1,2016,13949,Overtime Civilian,Personal Services,Mayor's Office-labor Relations,General Operating Fund
211,2,2016,500,Transportation,Purchase of Services,Mayor's Office-labor Relations,General Operating Fund
256,2,2016,4777,Seminar and Training Sessions,Purchase of Services,Mayor's Office-labor Relations,General Operating Fund
304,3,2016,5560,Books and Other Publications,Materials and Supplies,Mayor's Office-labor Relations,General Operating Fund
